fid0725,regionname,const230_h,round,respno,urb,r4,central,male,eth_akan,eth_ewe,eth_ga,eth_dagomba,eth_other,vote_npp_pres,vote_ndc_pres,economy_oneyear,poverty,unfair,trustown,trustother,gov_sentus,responsself,akan_5km_l_p,ewe_5km_l_p,akan_30km_l_p,ewe_30km_l_p,dev_factor2,h_30rad_e,popdens5x5
3133,WESTERN,SHAMA,ROUND4,GHA0044,0,1,0,0,1,0,0,0,0,0,0,3,0.1262767,1,,,1,,0.9067279,0.0176527,0.8747663,0.0551582,0.7183257,0.0159257,268.4739
5186,NORTHERN,KARAGA,ROUND3,GHA0044,0,0,0,1,0,0,0,1,0,1,0,4,-0.1112553,0,1,1,0,0,0.0245106,0.0036992,0.0439046,0.0014171,-1.135811,0.0333265,8.685099
3133,WESTERN,SHAMA,ROUND4,GHA0045,0,1,0,1,1,0,0,0,0,1,0,2,1.253037,0,,,0,,0.9067279,0.0176527,0.8747663,0.0551582,0.7183257,0.0159257,268.4739
5186,NORTHERN,KARAGA,ROUND3,GHA0045,0,0,0,0,0,0,0,1,0,1,0,3,-0.6970077,1,1,1,0,1,0.0245106,0.0036992,0.0439046,0.0014171,-1.135811,0.0333265,8.685099
3133,WESTERN,SHAMA,ROUND4,GHA0046,0,1,0,0,1,0,0,0,0,0,1,5,1.849839,0,,,1,,0.9067279,0.0176527,0.8747663,0.0551582,0.7183257,0.0159257,268.4739
5186,NORTHERN,KARAGA,ROUND3,GHA0046,0,0,0,0,0,0,0,1,0,1,0,3,0.4788346,0,1,1,1,,0.0245106,0.0036992,0.0439046,0.0014171,-1.135811,0.0333265,8.685099
3133,WESTERN,SHAMA,ROUND4,GHA0047,0,1,0,1,1,0,0,0,0,1,0,4,-1.122426,0,,,1,,0.9067279,0.0176527,0.8747663,0.0551582,0.7183257,0.0159257,268.4739
5186,NORTHERN,KARAGA,ROUND3,GHA0047,0,0,0,1,0,0,0,1,0,1,0,4,0.4750524,0,1,1,1,1,0.0245106,0.0036992,0.0439046,0.0014171,-1.135811,0.0333265,8.685099
2191,NORTHERN,YAPEI/KUSAWGU,ROUND3,GHA0048,0,0,0,0,0,0,0,0,1,1,0,3,0.4819643,1,0,0,1,1,0.1053578,0.3084746,0.0764531,0.0081966,-1.076392,0.2479386,30.08204
3133,WESTERN,SHAMA,ROUND4,GHA0048,0,1,0,0,1,0,0,0,0,0,0,1,1.849839,0,,,1,,0.9067279,0.0176527,0.8747663,0.0551582,0.7183257,0.0159257,268.4739
2191,NORTHERN,YAPEI/KUSAWGU,ROUND3,GHA0049,0,0,0,1,0,0,0,0,1,0,1,3,0.4554171,0,0,0,0,1,0.1053578,0.3084746,0.0764531,0.0081966,-1.076392,0.2479386,30.08204
7851,WESTERN,MPOHOR WASSA,ROUND4,GHA0049,0,1,0,1,1,0,0,0,0,1,0,5,-0.5256245,1,,,1,,0.7070301,0.1423218,0.6168879,0.1778566,-1.11341,0.0587742,80.03378
7851,WESTERN,MPOHOR WASSA,ROUND4,GHA0050,0,1,0,0,1,0,0,0,0,0,0,4,1.849839,1,,,1,,0.7070301,0.1423218,0.6168879,0.1778566,-1.11341,0.0587742,80.03378
2191,NORTHERN,YAPEI/KUSAWGU,ROUND3,GHA0050,0,0,0,0,0,0,0,0,1,1,0,3,-0.7241102,1,1,1,1,0,0.1053578,0.3084746,0.0764531,0.0081966,-1.076392,0.2479386,30.08204
